X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
145.109613000013667,-37.912509998745364,35649,0,0,3566,NORTH/MILGATE/FENTON,INT,M,070A11,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
144.925256000549979,-37.750857998849057,35650,0,0,3592,PASCOE VALE/MORELAND,INT,M,028J03,0,0,0,0,,OPERATIONAL,"BUS PRI,Bluetooth",,0,0
144.923915999597341,-37.730013998769834,35651,0,0,3594,PASCOE VALE/PECK/GAFFNEY,INT,M,016J09,0,0,0,0,,OPERATIONAL,"FSC DOJ,RLC,SRLC",,0,0
144.923890000113431,-37.72860499882426,35652,0,0,3595,PASCOE VALE/STEWART,INT,M,016J09,0,0,0,0,,OPERATIONAL,,,0,0
145.059063000284681,-37.697882999507847,35653,0,0,3736,PLENTY/BENT/SETTLEMENT,INT,M,009J12,0,0,0,0,,OPERATIONAL,"Bluetooth,RLC,TRAM PRI",,0,0
145.025684999866428,-37.725026998937452,35654,0,0,3746,PLENTY/FRANKLINS ACCESS RD,INT,M,019B08,0,0,0,0,,OPERATIONAL,TRAM PRI,,0,0
145.111685999641594,-37.835820999112869,35655,0,0,3924,RIVERSDALE/PARK/ELGAR,INT,M,061A02,0,0,0,0,,OPERATIONAL,TRAM RSV,,0,0
145.05935600034914,-37.817372998744382,35656,0,0,4035,BURKE/BARKERS/MONT ALBERT,INT,M,045J09,0,0,0,0,,OPERATIONAL,"ASB WARN,Bluetooth,TRAM PRI",,0,0
145.057319000414878,-37.828112999509223,35657,0,0,4038,BURKE/HAROLD/PROSPECT HILL,INT,M,045J12,0,0,0,0,,OPERATIONAL,"ASB WARN,RLC,SRLC,TRAM PRI",,0,0
145.007174000401847,-37.878051999122604,35658,0,0,4078,ORRONG/GLEN EIRA,INT,M,067H01,0,0,0,0,,OPERATIONAL,ASB WARN,,0,0
144.951749999832401,-37.736271999200873,35659,0,0,4120,O'HEA NR BISHOP,POS,M,017E11,0,0,0,0,,OPERATIONAL,,,0,0
144.885428999761928,-37.813046999248648,35660,0,0,4229,SOMERVILLE NR POWELL,POS,M,041K08,0,0,0,0,,OPERATIONAL,,,0,0
144.903247999980749,-37.800184999112837,35661,0,0,4237,HOPKINS/IRVING/MOORE,INT,M,042D04,0,0,0,0,,OPERATIONAL,,,0,0
145.153697999776739,-37.904162999271833,35662,0,0,536,MONASH FWY RAMP METERING/FTG I/B,RAMP MTR,M,71A09,0,0,0,0,,OPERATIONAL,,,0,0
144.888792999497014,-37.795200999069706,35663,0,0,4241,GORDON NR SHEPHERD,POS,M,042A03,0,0,0,0,,OPERATIONAL,,,0,0
145.04610900028635,-37.765691998933107,35664,0,0,4306,UPPER HEIDELBERG NR ST ELMO,POS,M,031F07,0,0,0,0,,OPERATIONAL,PUFFIN,,0,0
145.029286999804185,-37.856619998717207,35665,0,0,4357,HIGH/GLENFERRIE,INT,M,059C08,0,0,0,0,,OPERATIONAL,"Bluetooth,PTTL,TRAM PRI",,0,0
145.02834100052533,-37.86237399954544,35666,0,0,4365,GLENFERRIE/WATTLETREE,INT,M,059B09,0,0,0,0,,OPERATIONAL,"Bluetooth,TRAM PRI,UNMETER",,0,0
145.052724000148515,-37.853430998864134,35667,0,0,4369,BURKE/CARROLL/WILLS,INT,M,059H07,0,0,0,0,,OPERATIONAL,"RAIL LNK,TRAM PRI",,0,0
144.94670600048488,-37.819001999174063,35668,0,0,4372,HARBOUR ESP/BOURKE,INT,M,2EG06,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
144.885480000036807,-37.775720999355876,35669,0,0,2578,AQUATIC DR NR ROSAMOND RD,FLASH PX,M,028A10,0,0,0,0,,OPERATIONAL,,,0,0
144.89135199988209,-37.806621998831758,35670,0,0,2521,CHARLES ST NR VICTORIA ST,FLASH PX,M,2SB11,0,0,0,0,,OPERATIONAL,,,0,0
144.790295999971335,-37.791771999484176,35671,0,0,2577,FITZGERALD/ALLISON/DAVID,INT,M,039J02,0,0,0,0,,OPERATIONAL,,,0,0
145.021858000480478,-37.636961999417615,35672,0,0,2568,O'HERNS/MILLAR/GREAT BROME,INT,M,182A08,0,0,0,0,,OPERATIONAL,,,0,0
144.625860000547789,-37.886326998765163,35673,0,0,1157,BALLAN/BOLTON,INT,M,205B04,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
144.979860999939461,-37.406698998688,35674,0,0,6214,NORTHERN HWY/WILLIAM,INT,M,638 D7,0,0,0,0,,OPERATIONAL,,,0,0
145.318702000094817,-37.786454998905931,35675,0,0,1340,HULL/CARDIGAN/BRICE,INT,M,51H01,0,0,0,0,,OPERATIONAL,FIRE LNK,,0,0
145.976574999755115,-36.555004999549908,35676,0,0,6017,MIDLAND HWY/ARUNDEL,INT,V,309O6/7,0,0,0,0,,OPERATIONAL,"ASB WARN,DIDO",,0,0
145.123193999535886,-38.076360998944686,35677,0,0,223,STATION/MCLEOD,INT,M,097D08,0,0,0,0,,OPERATIONAL,,,0,0
145.125001999522283,-38.088421999226426,35678,0,0,225,NEPEAN NR RESERVE,POS,M,097D10,0,0,0,0,,OPERATIONAL,,,0,0
145.125598999912484,-38.094071999386671,35679,0,0,226,NEPEAN NR ARMSTRONGS,POS,M,097D12,0,0,0,0,,OPERATIONAL,,,0,0
145.125885000565404,-38.103450999284064,35680,0,0,227,NEPEAN/STATION,INT,M,099D03,0,0,0,0,,OPERATIONAL,ASB WARN,,0,0
145.125755000361636,-38.10984299933434,35681,0,0,228,NEPEAN/SEAFORD,INT,M,099D05,0,0,0,0,,OPERATIONAL,Bluetooth,,0,0
145.124938000481762,-38.120694998976546,35682,0,0,229,NEPEAN NR MCCULLOCH,POS,M,099D08,0,0,0,0,,OPERATIONAL,,,0,0
145.122409999560034,-38.140214999203501,35683,0,0,230,NEPEAN/BEACH,INT,M,102C01,0,0,0,0,,OPERATIONAL,,,0,0
145.120705000084683,-38.144231998678897,35684,0,0,232,NEPEAN/PLAYNE,INT,M,102C02,0,0,0,0,,OPERATIONAL,PARTFCRT,,0,0
145.237362999655147,-37.864937998805999,35685,0,0,171,STUD/KNOX CITY ENT 1,INT,M,063J10,0,0,0,0,,OPERATIONAL,,,0,0
145.237611000378081,-37.869811999224474,35686,0,0,172,BURWOOD HWY/KNOX CITY ENT 2/TYNER,INT,M,063K11,0,0,0,0,,OPERATIONAL,,,0,0
145.007907999731174,-37.779035999345695,35687,0,0,4684,SOUTH NR WASTELL,FLASH PX,M,030H10,0,0,0,0,,OPERATIONAL,,,0,0
145.277528000390646,-37.882748999287884,35688,0,0,176,BURWOOD HWY/FERNTREE GULLY/COMMERCIAL,INT,M,073J03,0,0,0,0,,OPERATIONAL,UPS,,0,0
145.243956000270572,-37.871868998788024,35689,0,0,178,BURWOOD HWY/KNOX CITY ENT 5/TYNER,INT,M,064A12,0,0,0,0,,OPERATIONAL,,,0,0
145.294684000397041,-37.888743999164973,35690,0,0,179,BURWOOD/BRENOCK PK/SELMAN/FOREST,INT,M,074C04,0,0,0,0,,OPERATIONAL,SRLC,,0,0
145.241289000223304,-37.871019998799966,35691,0,0,180,BURWOOD HWY/KNOX CITY ENT 4,INT,M,064A12,0,0,0,0,,OPERATIONAL,,,0,0
145.304357000089794,-37.892384998969938,35692,0,0,181,BURWOOD HWY NR WILLOW,POS,M,074E05,0,0,0,0,,OPERATIONAL,,,0,0
145.440729999556879,-37.932080999146429,35693,0,0,183,MAIN NR KILVINGTON,FLASH PX,M,127F04,0,0,0,0,,OPERATIONAL,,,0,0
145.445057000113906,-37.928852998818641,35694,0,0,184,BELGRAVE-GEM NR BEACONSFIELD-EMERALD,FLASH PX,M,127F03,0,0,0,0,,OPERATIONAL,,,0,0
145.156740000298527,-37.933147998671458,35695,0,0,185,PHE/SPRINGVALE,INT,M,080A04,0,0,0,0,,OPERATIONAL,,,0,0
